date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,reit
2022-01-01,975.61,1998.56,1509.85,3075.78,703.81,1217.99,1372.51,1621.8,192.36,2574.14,803.32,101.54,101.11,99.9,99.97,100.0,100.0,40549.96,29948.8,29948.8,29948.8,50220.95,49896.96,99.97
2022-01-02,985.64,1993.43,1512.95,3005.45,711.19,1230.35,1371.81,1654.36,187.55,2593.31,806.15,100.38,100.19,99.89,100.12,99.89,100.04,40677.64,29309.96,29309.96,29309.96,50526.35,50054.79,100.07
2022-01-03,1029.38,1994.02,1497.81,3001.41,708.09,1222.49,1386.72,1606.95,183.8,2479.06,787.97,101.76,99.67,99.88,100.25,99.87,100.07,40841.75,29488.99,29488.99,29488.99,50675.54,49921.07,100.26
2022-01-04,994.81,2039.38,1476.21,3067.97,701.49,1201.39,1391.2,1551.53,182.21,2459.98,768.48,101.18,99.58,99.86,100.33,99.85,100.16,41389.11,29150.88,29150.88,29150.88,50539.13,49853.55,100.27
2022-01-05,979.79,1987.92,1443.74,3111.32,707.32,1167.2,1347.74,1530.32,193.05,2483.55,765.61,100.94,101.37,99.84,100.27,100.04,100.15,42067.41,28363.26,28363.26,28363.26,50620.42,49933.43,100.31
2022-01-06,965.48,1998.87,1400.68,3138.72,676.99,1169.04,1358.48,1534.09,193.94,2470.23,753.12,97.43,101.77,99.72,100.29,99.97,100.18,41012.17,28024.09,28024.09,28024.09,50573.89,50004.49,100.01
2022-01-07,1013.29,1994.34,1402.19,3072.65,680.89,1137.38,1397.87,1542.82,189.28,2444.5,753.58,97.48,101.65,99.76,100.4,100.16,100.39,40406.87,28277.35,28277.35,28277.35,50446.51,50131.05,100.34
2022-01-08,1025.28,1990.53,1427.85,3078.02,682.52,1154.69,1380.85,1585.47,186.77,2480.45,749.56,96.51,102.84,99.83,100.37,100.1,100.48,40079.83,28442.3,28442.3,28442.3,50571.5,50010.07,100.62
2022-01-09,1019.69,2003.89,1464.14,3041.08,686.2,1142.25,1384.52,1582.67,184.92,2494.19,750.64,92.28,101.99,99.8,100.3,99.98,100.36,39822.3,28363.95,28363.95,28363.95,50689.54,50226.58,100.95
2022-01-10,1047.45,1988.12,1474.54,3040.44,702.7,1159.86,1387.05,1625.96,187.1,2507.38,758.12,92.87,103.03,99.88,100.33,99.98,100.42,40656.38,28461.33,28461.33,28461.33,50880.16,49867.28,100.94
2022-01-11,1049.21,2025.45,1502.23,3156.75,691.34,1187.34,1399.18,1594.82,181.61,2607.9,750.21,95.91,102.33,99.95,100.34,100.01,100.31,41204.25,28264.57,28264.57,28264.57,50926.72,49597.72,100.73
2022-01-12,1052.49,2061.65,1507.76,3171.97,693.09,1204.25,1393.74,1599.24,182.46,2639.01,757.55,92.96,102.24,100.07,100.41,100.07,100.22,42399.67,28919.11,28919.11,28919.11,50638.08,49478.7,100.46
2022-01-13,1014.38,2124.78,1497.74,3079.84,707.41,1186.13,1375.08,1637.48,177.4,2601.18,746.38,92.59,101.69,100.13,100.39,100.13,100.31,40969.88,28490.14,28490.14,28490.14,50904.27,49564.65,100.6
2022-01-14,1011.68,2085.88,1442.1,3044.59,721.72,1200.41,1367.13,1639.78,167.69,2583.95,750.36,93.12,99.88,100.22,100.29,100.15,100.39,40951.3,28567.0,28567.0,28567.0,50766.48,49134.88,100.62
2022-01-15,1018.49,2105.73,1402.3,3039.5,739.6,1175.97,1398.82,1608.93,168.54,2696.55,768.3,95.12,100.84,100.12,100.49,100.35,100.25,41561.73,28738.16,28738.16,28738.16,51014.76,48835.04,100.53
2022-01-16,1059.11,2069.31,1396.86,2964.96,746.32,1192.87,1419.46,1620.11,164.72,2590.24,780.18,98.62,103.21,100.04,100.44,100.2,100.26,41417.73,27377.41,27377.41,27377.41,51096.65,49038.1,100.8
2022-01-17,1050.47,2098.68,1371.69,2944.64,732.77,1179.24,1479.21,1678.64,168.32,2581.4,793.65,95.56,103.76,100.14,100.32,100.25,100.3,41808.58,27101.39,27101.39,27101.39,51337.45,48766.15,100.51
2022-01-18,1045.34,2150.84,1368.75,2843.62,746.15,1166.2,1418.01,1661.21,163.05,2619.84,794.16,94.99,102.6,100.14,100.24,100.05,100.36,42877.62,26718.72,26718.72,26718.72,51286.14,48610.58,100.22
2022-01-19,1033.54,2164.47,1377.67,2851.65,721.64,1151.6,1453.85,1672.54,166.07,2602.47,801.65,95.23,101.68,100.2,100.29,100.1,100.28,42287.66,26452.25,26452.25,26452.25,51361.1,48286.5,100.45
2022-01-20,1013.57,2163.89,1345.84,2834.76,731.42,1138.77,1467.97,1679.88,174.73,2536.04,790.98,93.27,98.74,100.21,100.17,100.03,100.33,41626.27,26580.84,26580.84,26580.84,51054.78,48423.61,100.49
2022-01-21,1041.4,2204.01,1374.27,2843.75,729.63,1151.05,1500.78,1626.19,161.59,2520.83,784.91,92.59,100.88,100.15,100.29,100.05,100.38,40745.16,26714.83,26714.83,26714.83,51189.27,48812.7,100.75
2022-01-22,1030.86,2233.77,1397.4,2885.57,719.88,1161.17,1493.23,1639.88,167.27,2481.0,803.02,93.45,101.67,100.09,100.4,100.12,100.41,39949.71,27205.1,27205.1,27205.1,50875.02,48511.26,100.82
2022-01-23,1048.46,2229.85,1401.73,2942.15,718.2,1189.58,1519.43,1621.16,165.78,2493.54,801.42,93.66,98.12,100.25,100.43,100.38,100.23,40513.02,27068.81,27068.81,27068.81,50817.99,48285.39,100.65
2022-01-24,1024.88,2261.31,1406.27,2922.91,721.84,1191.68,1481.8,1624.74,166.2,2598.68,806.21,91.53,98.17,100.33,100.51,100.34,100.17,40683.02,26638.22,26638.22,26638.22,50339.64,48264.14,100.35
