date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,reit
2022-01-01,970.4,1921.79,1476.36,3075.07,506.76,983.68,1499.31,1528.49,197.99,2667.08,758.01,50.07,69.56,99.01,99.9,99.8,99.65,3877.07,11443.94,3142940.42,218180.72,50236.26,5042.34,303.89
2022-01-02,976.81,1927.45,1426.49,3173.71,509.91,964.5,1508.33,1493.06,214.43,2761.53,725.0,50.76,49.84,99.53,99.71,100.53,99.14,3751.7,11717.51,3148981.26,201368.47,50710.76,4838.39,303.03
2022-01-03,1037.97,1903.44,1398.68,3194.92,486.42,1000.66,1566.09,1566.91,215.1,2677.58,712.53,52.73,49.54,99.2,99.32,100.7,99.18,3783.42,11760.33,3552419.99,207848.62,52654.13,4766.32,306.85
2022-01-04,1067.59,1975.04,1333.17,3134.39,472.12,1007.74,1479.15,1518.95,220.02,2650.78,706.13,54.24,52.24,99.12,98.58,102.83,98.87,3941.92,11730.74,3735205.32,217610.36,53221.77,4775.83,308.05
2022-01-05,1045.34,1949.14,1357.78,3085.09,465.49,943.46,1558.03,1523.47,221.94,2724.09,711.91,54.96,61.76,99.28,98.09,102.34,100.8,3955.35,12088.3,3929639.45,203907.72,52150.22,4787.8,309.41
2022-01-06,1012.48,2008.13,1420.68,3008.22,464.91,892.18,1464.26,1515.35,220.88,2829.94,730.02,54.06,50.05,100.83,96.55,101.77,100.57,4042.81,12706.81,3675973.57,211870.61,50458.86,4720.78,307.06
2022-01-07,1064.5,1971.68,1411.32,2907.16,463.11,876.29,1427.02,1539.22,226.61,2824.6,743.14,54.61,48.85,100.66,95.9,102.07,99.22,3895.77,11592.65,3539048.61,204194.92,51689.12,4772.89,304.82
2022-01-08,1007.95,1976.74,1404.85,2705.5,484.85,892.9,1422.11,1483.2,223.53,2755.19,731.77,54.68,48.64,99.86,95.86,99.8,99.11,4004.08,11947.83,3832957.8,209537.32,52255.52,4886.4,304.71
2022-01-09,965.43,1978.14,1415.2,2620.71,494.24,877.8,1448.99,1430.23,216.12,2903.87,723.58,55.01,48.65,100.89,97.03,99.01,98.22,3980.05,12189.91,3478354.13,215791.88,52437.18,4813.45,306.29
2022-01-10,970.57,1940.15,1411.23,2662.66,611.12,883.02,1439.46,1445.38,214.56,2831.1,697.63,54.39,47.9,100.42,95.9,100.22,98.11,3884.69,12357.4,3363328.89,214920.48,52404.63,4833.82,307.24
2022-01-11,958.8,1863.39,1367.82,2599.5,482.71,875.29,1406.37,1369.81,209.7,2833.06,693.28,53.7,48.46,101.88,96.28,99.85,100.13,3735.7,12903.87,3384982.97,221450.85,51728.24,4877.23,308.9
2022-01-12,989.05,2429.91,1346.48,2495.35,466.39,899.1,1401.9,1361.67,205.37,2939.18,693.29,53.72,49.24,100.41,96.31,101.04,100.74,3751.3,13320.96,3353344.68,217685.0,51216.34,4873.45,309.01
2022-01-13,950.77,1950.91,1331.06,2584.16,471.69,900.13,1506.17,1319.88,208.66,2919.22,686.23,53.34,49.02,98.87,96.77,100.99,100.09,3673.02,13125.92,3239478.57,219264.36,48486.91,4943.36,304.52
2022-01-14,919.08,1893.66,1369.32,2531.99,472.63,957.96,1559.99,1263.96,209.6,2852.31,701.71,53.67,50.82,97.77,97.41,101.52,99.93,3555.71,13042.04,3318657.49,229531.31,48979.06,4966.09,309.56
2022-01-15,919.02,1900.82,1315.19,2656.39,478.98,936.05,1635.54,1253.49,210.76,3066.85,675.77,54.79,53.28,96.99,97.68,99.72,99.18,3640.43,13063.5,3064009.96,224630.25,47451.69,4752.62,309.79
2022-01-16,925.46,1871.4,1354.69,2660.56,507.7,939.55,1598.52,1225.54,209.4,2959.21,692.24,55.32,51.21,96.16,97.94,99.0,98.8,3899.81,13863.55,3060457.52,206016.82,47576.31,4686.96,305.72
2022-01-17,939.05,1736.92,1340.31,2714.97,499.07,951.79,1599.79,1280.34,209.23,2890.32,700.08,57.54,53.89,96.42,96.65,99.17,98.37,3949.96,13680.3,2986749.67,217802.06,48929.08,4620.33,307.37
2022-01-18,946.22,1719.19,1328.06,2761.29,499.59,969.52,1587.89,1319.05,209.87,2925.23,708.22,59.29,54.44,95.34,97.23,100.64,98.19,4136.59,13911.29,3254817.14,222038.37,50989.86,4701.51,309.5
2022-01-19,939.46,1754.55,1351.52,2815.03,530.08,916.27,1606.78,1344.4,205.96,2916.93,699.03,57.66,55.02,96.13,97.48,100.75,98.75,4174.06,13691.18,3534680.36,237196.02,51886.02,4815.87,308.36
2022-01-20,962.82,1749.89,1344.61,2744.86,523.2,917.45,1540.09,1379.83,211.73,2796.03,726.81,57.7,53.34,95.28,97.35,99.43,99.72,4127.45,13509.55,3497216.77,233421.42,51757.43,4817.32,309.98
2022-01-21,958.87,1793.44,1311.52,2696.62,504.63,889.9,1526.42,1406.33,207.61,2723.18,720.36,59.67,53.32,95.26,96.8,99.59,99.16,4086.61,13171.69,3607015.56,237353.34,51144.96,4814.82,312.98
2022-01-22,946.1,1914.33,1274.06,2642.9,506.08,887.2,1479.74,1310.93,211.06,2676.28,731.5,60.2,52.93,94.17,96.74,98.97,98.83,3924.96,12999.88,3716780.8,241178.49,51476.05,4845.82,311.08
2022-01-23,923.79,2011.46,1293.18,2590.12,491.43,939.68,1523.27,1283.77,214.34,2674.45,771.2,59.68,53.32,94.11,96.82,100.54,99.05,4077.39,13007.99,3717859.41,244380.43,50855.69,4835.1,315.21
2022-01-24,919.01,2026.41,1304.89,2562.01,453.66,965.2,1563.77,1332.43,216.8,2683.96,762.81,63.72,52.29,92.95,96.1,100.11,98.36,4303.12,13366.91,3679877.17,246636.69,51147.58,4849.31,311.86
2022-01-25,918.38,1971.71,1286.37,2655.21,442.13,942.78,1954.43,1326.42,214.05,2620.29,778.44,64.59,54.24,93.51,97.71,99.46,97.71,4251.14,12665.63,3700397.33,259616.48,50593.89,4846.41,312.6
2022-01-26,896.58,1883.38,1326.69,2712.04,429.46,923.56,1582.67,1376.45,220.59,2676.03,1056.42,62.88,56.82,93.9,99.4,99.12,96.68,4277.35,13374.0,3789240.66,243994.41,50734.36,4864.68,305.52
2022-01-27,919.54,1985.77,1313.54,2602.71,416.85,868.83,1530.49,1338.09,217.45,2622.99,804.93,63.33,59.3,94.2,99.48,100.22,94.47,4503.67,13379.52,3564166.97,247519.99,50856.55,4899.98,314.82
2022-01-28,880.73,2053.25,1282.05,2611.87,417.75,870.21,1455.75,1280.82,208.28,2590.14,847.66,62.25,58.8,95.96,99.3,99.51,95.24,4375.52,13769.45,3473422.8,281436.56,49238.76,4871.75,317.47
2022-01-29,878.58,2100.57,1311.11,2572.81,433.91,816.68,1466.29,1333.07,205.69,2523.79,824.07,64.89,57.92,95.4,98.67,100.54,95.11,4559.19,14227.98,3466538.57,302609.04,49138.29,4738.8,309.37
2022-01-30,880.47,2119.21,1384.52,2627.01,416.04,849.83,1456.6,1350.94,209.57,2445.89,779.95,67.24,58.41,92.42,99.45,100.2,93.99,4591.03,13766.15,3416741.93,316321.31,49444.97,4662.27,302.22
2022-01-31,877.88,2092.75,1365.23,2750.02,415.15,860.57,1467.33,1348.9,204.36,2379.18,802.89,65.29,57.93,92.64,98.23,100.32,92.8,4231.7,13410.56,3058956.07,291955.18,49820.35,4595.11,303.07
2022-02-01,878.1,2087.51,1330.44,2683.97,429.39,823.47,1532.09,1271.63,198.28,2413.28,804.81,65.51,60.01,92.17,98.16,98.83,93.88,4372.28,13469.82,3289974.42,266693.52,51113.36,4633.98,306.5
2022-02-02,862.25,2069.51,1238.11,3439.31,438.08,816.33,1604.31,1325.01,198.72,2444.96,770.49,68.61,59.56,93.32,98.89,97.49,93.81,4128.0,13511.48,3451747.63,253982.68,51657.07,4585.39,305.42
2022-02-03,858.61,1970.22,1190.59,2678.58,433.8,876.89,1582.5,1353.55,197.82,2598.89,754.63,71.22,62.29,95.09,98.63,97.78,94.28,4065.55,13871.9,3631465.81,253161.8,51984.75,4551.65,300.36
2022-02-04,827.86,1942.9,1176.99,2758.13,466.24,869.13,1585.02,1429.76,196.26,2697.23,748.83,68.68,62.97,95.59,98.98,98.2,93.81,4120.64,14048.39,4038014.72,239073.04,53058.6,4623.33,306.56
2022-02-05,840.82,1829.81,1173.7,2684.61,441.66,873.14,1616.37,1436.93,196.44,2688.97,747.68,67.07,62.34,94.11,99.21,99.08,93.53,4189.83,13388.6,3804843.77,253125.59,53128.82,4641.51,305.68
2022-02-06,842.29,1810.77,1132.48,2731.19,422.58,869.75,1586.23,1429.83,201.93,2684.25,762.4,66.61,61.0,93.01,99.05,98.72,93.73,4240.74,13356.85,4025660.48,250171.25,53049.37,4629.28,313.59
2022-02-07,845.19,1711.43,1136.78,2720.15,413.87,898.55,1636.75,1487.2,202.23,2744.82,757.65,66.88,60.82,93.56,98.78,96.98,94.53,4321.75,13703.93,3974856.81,266113.62,51620.88,4578.51,311.1
2022-02-08,853.97,1671.95,1107.37,2731.14,400.25,893.35,1661.74,1471.25,196.93,2767.61,799.2,64.24,61.08,94.03,97.64,96.88,95.27,4185.55,13461.04,4170912.06,250121.1,50735.29,4630.97,305.7
2022-02-09,838.93,1715.2,1060.92,2638.69,401.88,942.31,1626.22,1509.27,198.35,2752.46,817.02,65.05,60.0,93.83,98.35,96.22,96.19,4049.46,13024.54,4301538.04,262171.7,50745.42,4524.29,307.68
