date,asset_id,quantity
2022-01-01,nippon_india_smallcap_fund,191.94
2022-01-01,axis_liquid_fund,37.61
2022-01-01,sgb,0.25
2022-01-01,reit,29.61
2022-01-01,nasdaq_100,0.11
2022-03-09,asian_paints,7.16
2022-03-09,sbi_liquid_fund,54.96
2022-03-09,physical_gold,0.03
2022-03-09,reit,47.61
2022-03-09,nasdaq_100,0.17
2022-03-15,mahindra_and_mahindra,77.67
2022-03-15,icici_pru_liquid_fund,280.34
2022-03-15,sgb,2.56
2022-03-15,reit,241.81
2022-03-15,nasdaq_100,0.85
2022-06-01,adani_enterprises,14.26
2022-06-01,axis_liquid_fund,89.8
2022-06-01,physical_gold,0.05
2022-06-01,reit,60.81
2022-06-01,snp_500,0.55
2022-06-28,hdfc_bank,12.99
2022-06-28,hdfc_liquid_fund,90.21
2022-06-28,sgb,0.9
2022-06-28,reit,53.57
2022-06-28,snp_500,0.44
2022-07-24,reliance_industries,17.99
2022-07-24,hdfc_liquid_fund,103.65
2022-07-24,physical_gold,0.05
2022-07-24,reit,60.88
2022-07-24,snp_500,0.56
2022-08-23,itc,133.49
2022-08-23,sbi_liquid_fund,89.47
2022-08-23,physical_gold,0.06
2022-08-23,reit,70.94
2022-08-23,nasdaq_100,0.2
2022-09-10,bajaj_finserv,200.1
2022-09-10,icici_pru_liquid_fund,418.83
2022-09-10,sgb,6.31
2022-09-10,reit,351.49
2022-09-10,nasdaq_100,0.78
2022-09-18,itc,141.76
2022-09-18,icici_pru_liquid_fund,99.57
2022-09-18,sgb,1.52
2022-09-18,reit,83.0
2022-09-18,snp_500,0.6
2022-10-16,hero_moto_corps,7.22
2022-10-16,sbi_liquid_fund,105.89
2022-10-16,physical_gold,0.07
2022-10-16,reit,101.18
2022-10-16,snp_500,0.61
2023-01-21,nippon_india_smallcap_fund,998.35
2023-01-21,icici_pru_liquid_fund,144.92
2023-01-21,physical_gold,0.09
2023-01-21,reit,100.22
2023-01-21,snp_500,0.97
2023-02-15,parag_parikh_flexi_cap_fund,1206.45
2023-02-15,axis_liquid_fund,149.77
2023-02-15,sgb,2.01
2023-02-15,reit,101.95
2023-02-15,snp_500,1.26
2023-03-20,bharti_airtel,155.75
2023-03-20,hdfc_liquid_fund,351.22
2023-03-20,sgb,3.84
2023-03-20,reit,203.45
2023-03-20,snp_500,2.45
2023-03-22,bajaj_finserv,109.16
2023-03-22,hdfc_liquid_fund,196.93
2023-03-22,sgb,2.17
2023-03-22,reit,116.56
2023-03-22,nasdaq_100,0.18
2023-04-17,nippon_india_smallcap_fund,1117.96
2023-04-17,sbi_liquid_fund,150.1
2023-04-17,physical_gold,0.1
2023-04-17,reit,124.1
2023-04-17,snp_500,1.56
2023-06-13,nippon_india_smallcap_fund,1005.15
2023-06-13,hdfc_liquid_fund,220.53
2023-06-13,physical_gold,0.1
2023-06-13,reit,146.91
2023-06-13,snp_500,1.93
2023-07-17,mahindra_and_mahindra,39.5
2023-07-17,axis_liquid_fund,163.25
2023-07-17,sgb,2.7
2023-07-17,reit,147.15
2023-07-17,nasdaq_100,0.16
2023-08-21,reliance_industries,32.49
2023-08-21,icici_pru_liquid_fund,169.56
2023-08-21,physical_gold,0.1
2023-08-21,reit,167.99
2023-08-21,snp_500,1.36
2023-09-05,adani_enterprises,40.69
2023-09-05,axis_liquid_fund,209.38
2023-09-05,sgb,3.54
2023-09-05,reit,231.52
2023-09-05,nasdaq_100,0.26
2023-09-19,itc,250.19
2023-09-19,hdfc_liquid_fund,201.55
2023-09-19,sgb,2.78
2023-09-19,reit,187.89
2023-09-19,snp_500,1.51
2023-10-16,hero_moto_corps,10.16
2023-10-16,sbi_liquid_fund,169.15
2023-10-16,physical_gold,0.09
2023-10-16,reit,177.97
2023-10-16,nasdaq_100,0.22
2023-12-17,tata_steel,59.74
2023-12-17,hdfc_liquid_fund,211.72
2023-12-17,sgb,3.35
2023-12-17,reit,170.2
2023-12-17,snp_500,1.57
2024-01-14,reliance_industries,24.92
2024-01-14,axis_liquid_fund,211.6
2024-01-14,sgb,3.61
2024-01-14,reit,181.39
2024-01-14,nasdaq_100,0.24
2024-02-16,mahindra_and_mahindra,51.52
2024-02-16,sbi_liquid_fund,182.18
2024-02-16,physical_gold,0.12
2024-02-16,reit,199.03
2024-02-16,nasdaq_100,0.26
2024-03-15,adani_enterprises,39.04
2024-03-15,sbi_liquid_fund,189.5
2024-03-15,physical_gold,0.13
2024-03-15,reit,196.05
2024-03-15,nasdaq_100,0.23
2024-03-20,bharti_airtel,61.96
2024-03-20,sbi_liquid_fund,193.51
2024-03-20,sgb,3.34
2024-03-20,reit,201.22
2024-03-20,nasdaq_100,0.24
2024-04-20,bajaj_finserv,145.56
2024-04-20,sbi_liquid_fund,205.6
2024-04-20,physical_gold,0.15
2024-04-20,reit,179.64
2024-04-20,nasdaq_100,0.21
2024-05-16,mahindra_and_mahindra,47.57
2024-05-16,icici_pru_liquid_fund,186.94
2024-05-16,sgb,3.06
2024-05-16,reit,178.35
2024-05-16,nasdaq_100,0.22
2024-06-20,nippon_india_smallcap_fund,2211.23
2024-06-20,axis_liquid_fund,223.74
2024-06-20,sgb,2.65
2024-06-20,reit,177.45
2024-06-20,nasdaq_100,0.22
2024-07-24,itc,82.01
2024-07-24,hdfc_liquid_fund,117.91
2024-07-24,physical_gold,0.05
2024-07-24,reit,81.78
2024-07-24,nasdaq_100,0.06
