date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,reit
2022-01-01,1017.86,2046.45,1461.58,3036.19,489.08,1043.46,1536.23,1532.51,194.78,2490.81,805.0,50.86,49.26,99.87,97.78,100.84,100.5,2454.07,7611.0,3060407.78,201182.65,50103.16,5017.17,305.84
2022-01-02,1035.91,1995.03,1453.75,2958.5,611.9,1026.27,1543.65,1493.3,195.04,2464.49,829.78,51.65,49.01,100.73,97.75,101.98,99.28,2468.54,7633.11,2994865.96,209998.19,49434.68,5094.66,309.11
2022-01-03,1083.57,2014.98,1415.54,2978.57,468.88,1010.05,1528.21,1521.07,194.75,2388.15,804.78,50.86,49.14,101.1,98.73,100.18,99.32,2421.15,7610.2,2884495.75,212478.63,49592.54,5007.24,305.06
2022-01-04,1128.73,2681.74,1421.6,2956.15,449.61,1027.98,1442.63,1544.02,192.79,2449.51,836.31,51.49,48.06,100.79,97.82,101.07,99.89,2386.22,7548.02,3088286.91,220924.49,49451.85,4994.2,306.96
2022-01-05,1149.32,2046.87,1446.01,3126.49,457.94,984.73,1408.22,1520.21,199.21,2410.89,872.21,51.82,47.93,100.72,99.02,100.12,100.53,2440.69,7328.81,2874400.56,212471.53,49521.39,4933.41,309.68
2022-01-06,1096.68,2047.45,1447.49,3079.48,433.77,996.6,1355.71,1536.43,205.24,2379.53,888.94,49.6,48.69,101.58,100.23,100.06,100.42,2390.99,7352.23,3043753.03,223643.77,49919.66,4984.41,311.19
2022-01-07,1089.76,2082.46,1502.89,3157.84,443.54,1047.83,1342.07,1526.94,213.13,2390.22,920.59,49.42,48.13,102.43,100.87,100.82,100.13,2434.15,6988.4,2764177.54,221053.67,49797.8,4973.06,314.45
2022-01-08,1064.56,1984.45,1476.15,3204.16,425.1,1039.77,1325.79,1492.3,211.33,2396.74,917.87,47.58,47.74,103.54,102.32,100.5,99.5,2427.37,7137.02,2782534.1,223156.32,51609.48,4770.28,315.4
2022-01-09,1050.99,1965.9,1440.11,3212.73,432.21,1035.81,1296.84,1430.65,217.74,2391.7,905.7,49.96,48.23,103.97,102.86,99.29,98.29,2400.97,7472.98,3068118.92,234721.44,51683.23,4755.38,314.7
2022-01-10,1052.89,1934.15,1452.98,3189.1,435.57,1014.11,1298.32,1406.93,214.64,2396.67,913.61,50.61,48.13,103.02,102.59,98.78,99.62,2389.47,7441.04,3114731.21,234660.3,51726.52,4703.35,321.43
2022-01-11,1063.68,1952.0,1483.88,3276.73,421.85,1029.37,1286.78,1413.89,208.14,2319.49,896.82,51.94,46.88,102.74,102.46,98.76,98.98,2444.05,7587.69,3105440.86,240599.83,51778.18,4643.06,316.73
2022-01-12,1062.11,1903.91,1599.21,3249.57,430.53,1039.96,1348.99,1424.39,203.51,2252.48,888.79,50.1,47.01,102.04,101.32,98.92,98.2,2480.73,7861.45,3084772.25,243421.31,51992.18,4553.17,316.94
2022-01-13,1062.58,1771.71,1638.8,3302.46,423.72,1069.81,1356.12,1400.67,198.16,2305.38,883.61,50.53,45.68,101.66,100.91,99.53,97.16,2494.3,7582.93,3008245.9,253742.15,51970.05,4650.89,319.24
2022-01-14,1063.21,1777.95,1704.18,3194.11,433.53,1095.96,1342.34,1494.95,196.15,2325.42,910.3,51.76,46.44,101.87,101.94,98.57,96.14,2412.04,7532.53,2996717.41,253121.52,53379.16,4614.92,326.44
2022-01-15,1051.78,1874.29,1735.07,3123.26,424.88,1100.87,1263.78,1448.74,195.73,2292.95,914.03,52.45,44.74,100.59,102.78,99.6,95.71,2417.88,7615.23,2886252.11,228502.35,52925.63,4601.26,325.42
2022-01-16,1026.22,1891.12,1756.98,2977.07,427.29,1110.67,1228.73,1452.61,194.52,2296.27,895.33,51.01,43.1,100.83,102.3,101.16,94.9,2492.74,7883.25,3017710.5,235957.63,53760.61,4608.7,322.82
2022-01-17,1053.5,1778.62,1786.45,2991.35,425.97,1088.33,1222.09,1502.81,193.94,2329.31,860.67,52.35,41.66,100.8,103.56,101.06,93.94,2567.85,7849.6,3189626.33,229146.82,53700.99,4560.23,325.21
2022-01-18,1035.03,1721.36,1795.11,2896.72,436.56,1106.71,1233.69,1411.37,202.92,2304.82,888.96,54.04,40.66,100.48,103.21,100.55,93.14,2604.99,7842.06,3117422.45,241351.57,53897.48,4652.42,325.61
2022-01-19,1037.96,1642.3,1754.64,2922.82,428.95,1069.0,1197.72,1516.06,202.11,2226.54,887.6,54.62,40.36,100.9,104.48,100.69,91.87,2631.98,7882.32,3011385.21,220751.74,53708.36,4562.25,329.41
