date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,reit
2022-01-01,2087.28,3403.19,1807.45,305.95,2858.76,1190.68,944.2,101.09,2128.76,722.06,2151.48,3680.57,4633.97,12.99,16.91,11.85,17.05,124.52,250.97,609.88,921.86,4333.57,4608.4,34880.79
2022-01-02,2360.28,3410.46,1815.21,300.71,2924.02,1186.55,926.2,102.53,2091.79,712.74,2149.38,3684.83,4708.72,13.07,16.72,11.83,17.22,124.32,249.6,593.88,915.67,4291.13,4648.61,34545.67
2022-01-03,2085.3,3437.47,2111.62,305.87,2860.62,1189.95,940.56,105.03,2133.47,708.31,2105.25,3594.58,4782.61,13.17,16.9,12.04,17.13,123.92,252.14,590.56,920.58,4293.37,4666.53,34577.92
2022-01-04,2092.65,3392.47,1837.6,305.01,2896.05,1174.71,955.52,103.84,2112.32,705.91,2105.77,3621.4,5093.91,13.18,16.72,11.96,17.1,124.95,252.47,586.65,917.06,4375.06,4598.84,34646.13
2022-01-05,2092.31,3417.37,1833.54,309.13,2885.31,1184.07,931.57,103.33,2123.68,710.36,2145.41,3611.22,4744.59,13.21,16.95,11.88,17.28,122.66,252.98,600.54,912.56,4387.97,4597.22,34259.73
2022-01-06,2080.57,3447.89,1828.21,306.92,2914.22,1169.15,1007.77,102.9,2135.27,703.96,2111.87,3694.65,4725.69,13.16,16.99,11.99,17.08,125.05,252.34,588.22,918.07,4216.02,4635.44,34513.28
2022-01-07,2078.8,3416.94,1840.7,301.78,2842.97,1198.28,953.2,103.44,2143.25,724.47,2118.66,3625.18,4622.48,13.19,16.57,12.01,16.94,123.94,249.34,597.51,919.05,4270.28,4530.49,34756.08
2022-01-08,2095.17,3379.61,1820.21,306.43,2858.88,1176.74,943.21,103.4,2134.17,720.43,2128.3,3566.36,4689.34,13.13,17.12,11.91,17.12,123.0,250.68,592.29,906.08,4373.39,4717.98,35074.12
2022-01-09,2047.98,3538.47,1830.36,308.42,2841.03,1179.21,934.0,104.17,2109.86,713.89,2123.85,3638.55,4780.6,13.14,16.97,11.9,17.49,125.03,251.75,601.64,912.98,4280.59,4595.02,35173.98
2022-01-10,2060.42,3430.64,1835.77,306.81,2835.09,1189.3,947.31,105.45,2128.54,721.24,2093.25,3649.64,4653.89,13.22,16.83,11.91,17.4,125.14,249.92,593.8,913.56,4268.36,4616.75,34831.75
