date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,pune_commercial_space
2019-04-10,4877.17,1022.29,4068.4,2050.31,1900.04,423.9,521.06,2401.47,4253.56,3551.62,816.41,464.81,948.79,15.74,17.35,18.56,12.0,494.79,450.63,256.89,280.86,4336.27,4476.9,5277.55
2019-04-11,4860.17,1003.91,4028.21,1987.29,1890.14,419.67,508.91,2343.87,4325.62,3485.56,829.39,465.72,926.83,15.73,17.35,18.54,12.01,482.18,443.96,258.5,272.66,4366.61,4444.27,5281.48
2019-04-12,4954.36,1008.98,4133.42,2009.17,1872.63,419.04,536.16,2352.87,4330.84,3626.41,823.15,459.01,936.34,15.77,17.29,18.54,11.96,482.04,454.26,263.82,281.74,4332.85,4494.53,5280.85
2019-04-13,4810.36,1047.32,4119.24,2061.9,1892.91,421.85,515.11,2278.03,4370.83,3490.08,809.84,467.74,919.21,15.81,17.35,18.56,12.0,478.87,459.6,284.9,280.67,4339.78,4505.87,5282.06
2019-04-14,5020.88,1019.53,4201.96,2020.36,1867.12,417.53,505.51,2318.33,4279.66,3574.95,826.5,462.44,933.1,15.79,17.35,18.59,11.99,490.4,451.25,260.46,279.84,4339.44,4482.3,5285.8
2019-04-15,4908.05,1010.68,4074.57,2021.69,1882.46,416.72,523.1,2368.88,4338.34,3687.48,841.42,457.89,938.27,15.79,17.33,18.54,11.99,497.16,448.8,280.96,285.58,4377.57,4434.36,5298.16
2019-04-16,4886.2,1002.88,4057.92,1981.74,1891.5,416.04,535.97,2412.02,4368.65,3442.73,826.67,474.52,942.95,15.78,17.35,18.53,11.97,489.89,455.48,252.09,279.65,4337.96,4524.23,5306.18
2019-04-17,4923.17,1018.1,4050.47,1993.49,1901.13,426.81,515.92,2362.32,4391.13,3568.05,813.06,457.24,921.84,15.76,17.39,18.52,11.99,488.39,451.83,276.67,279.94,4340.65,4488.47,5292.14
2019-04-18,5003.65,1010.57,4093.48,2030.84,1869.35,424.27,521.65,2369.22,4376.42,3593.57,818.13,449.3,943.77,15.8,17.36,18.54,12.0,481.53,446.41,256.82,283.71,4351.15,4487.21,5297.05
2019-04-19,4942.02,1017.03,4111.87,2004.1,1863.52,411.77,516.42,2410.78,4354.12,3703.33,813.01,462.37,964.88,15.85,17.4,18.57,11.99,489.53,454.14,278.7,279.75,4383.13,4538.0,5286.53
2019-04-20,4905.06,1019.51,4105.03,2044.03,1865.08,415.59,523.32,2372.73,4429.9,3648.1,829.33,463.48,972.51,15.79,17.35,18.56,12.01,482.37,450.69,240.58,284.13,4367.83,4491.93,5291.92
2019-04-21,4822.84,1019.32,4182.52,2025.79,1901.68,408.88,530.48,2366.42,4367.37,3599.3,821.76,465.35,946.71,15.8,17.39,18.54,11.98,471.6,452.17,264.22,282.58,4353.82,4483.14,5313.94
2019-04-22,4938.86,1036.76,4057.63,2067.58,1903.09,424.86,522.21,2352.77,4268.45,3565.58,842.76,470.17,933.06,15.81,17.4,18.6,12.02,480.42,458.49,282.06,278.43,4341.81,4466.05,5323.87
2019-04-23,4895.53,1011.56,4031.93,2006.23,1896.72,424.47,522.52,2355.05,4344.2,3517.29,845.5,460.58,929.14,15.8,17.38,18.59,11.99,489.61,460.93,270.29,287.51,4344.29,4530.96,5326.82
2019-04-24,4840.9,1019.35,4073.63,2019.87,1892.42,428.95,517.41,2329.47,4332.22,3525.5,849.17,472.89,938.03,15.82,17.42,18.59,11.99,488.35,445.32,269.56,291.3,4364.7,4511.02,5300.21
2019-04-25,4993.64,1008.25,4194.69,2050.67,1893.72,412.13,537.43,2285.96,4387.93,3607.89,850.57,475.72,917.9,15.81,17.43,18.56,12.04,479.9,442.62,256.65,292.58,4392.64,4510.99,5301.52
